Objective Description,Course Number,Skill Tags
Compare classical and operant conditioning and explain their role in behavior change,Beh Sci 110,hypothesis_formation|model_limitations|change_and_continuity|evidence_evaluation|interdisciplinary_transfer
Analyze personality theories and their application to leadership and team dynamics,Beh Sci 110,team_dynamics|self_leadership|interpersonal_influence|human_nature_inquiry|model_limitations|logical_structure_analysis
Describe the psychology of attitude formation persuasion and resistance to change,Beh Sci 110,interpersonal_influence|moral_reasoning|change_management|bias_recognition|human_nature_inquiry
Describe atomic structure including electron configurations and periodic trends,Chem 100,mathematical_modeling|quantitative_reasoning|logical_structure_analysis|nature_of_science
Explain chemical bonding types and predict molecular geometry using VSEPR theory,Chem 100,hypothesis_formation|logical_structure_analysis|mathematical_modeling|model_limitations
Balance chemical equations and apply stoichiometry to calculate reactant and product quantities,Chem 100,mathematical_modeling|quantitative_reasoning|quantitative_estimation|solution_validation
Classify and predict oxidation-reduction reactions and assign oxidation states,Chem 100,hypothesis_formation|logical_structure_analysis|solution_validation|quantitative_reasoning
Apply gas laws to predict behavior of gases under varying conditions of temperature and pressure,Chem 100,mathematical_modeling|model_limitations|quantitative_reasoning|hypothesis_formation|solution_validation
Calculate energy changes in chemical reactions using thermochemical principles,Chem 100,mathematical_modeling|quantitative_reasoning|quantitative_estimation|solution_validation
Explain intermolecular forces and their effects on physical properties of substances,Chem 100,inference_calibration|systems_thinking|model_limitations|logical_structure_analysis
Perform laboratory measurements with appropriate precision and use significant figures correctly,Chem 100,experimental_design|precision_of_language|quantitative_reasoning|replication_and_reproducibility|data_interpretation
Conduct quantitative and qualitative laboratory analyses and record data accurately,Chem 100,data_interpretation|experimental_design|replication_and_reproducibility|mathematical_modeling|quantitative_reasoning|written_mechanics
Produce clear technical writing that describes experimental procedures and results,Chem 100,written_mechanics|logical_organization|precision_of_language|audience_adaptation|visual_communication
Apply concepts of chemistry to Air Force and practical engineering applications,Chem 100,technology_awareness|interdisciplinary_transfer|systems_thinking|requirements_analysis
Develop critical thinking and data-driven decision making through inquiry-based learning,Chem 100,evidence_evaluation|assumption_identification|scientific_skepticism|data_interpretation|decision_framing
Identify safety hazards in laboratory environments and follow proper safety protocols,Chem 100,failure_mode_analysis|professional_responsibility|systems_thinking|accountability
Describe the properties and reactions of common functional groups in organic chemistry,Chem 100,nature_of_science|hypothesis_formation|logical_structure_analysis|systems_thinking
Explain the role of chemistry in environmental systems and sustainability,Chem 100,systems_thinking|stakeholder_identification|interdisciplinary_transfer|global_interconnectedness
Relate atomic and molecular structure to macroscopic physical properties,Chem 100,inference_calibration|model_limitations|systems_thinking|logical_structure_analysis|interdisciplinary_transfer
Compare classical and quantum mechanical models of atomic structure,Chem 100,nature_of_science|scientific_skepticism|model_limitations|change_and_continuity|evidence_evaluation
Apply dimensional analysis and unit conversion to chemistry problem-solving,Chem 100,quantitative_reasoning|mathematical_modeling|precision_of_language|solution_validation
Characterize solution properties including solubility concentration and colligative properties,Chem 200,data_interpretation|quantitative_reasoning|mathematical_modeling|experimental_design
Write and interpret rate laws and determine reaction orders from experimental data,Chem 200,experimental_design|data_interpretation|mathematical_modeling|logical_structure_analysis|inference_calibration
Calculate and apply rate constants and use integrated rate laws for zero first and second order reactions,Chem 200,mathematical_modeling|quantitative_reasoning|solution_validation|logical_structure_analysis
Explain and apply chemical equilibrium principles using Le Chatelier's principle and Keq expressions,Chem 200,hypothesis_formation|inference_calibration|mathematical_modeling|model_limitations|logical_structure_analysis
Solve acid-base equilibrium problems including pH buffers and titration calculations,Chem 200,mathematical_modeling|solution_validation|quantitative_reasoning|experimental_design
Apply thermodynamic principles including Gibbs free energy to predict reaction spontaneity,Chem 200,quantitative_reasoning|model_limitations|mathematical_modeling|inference_calibration
Analyze electrochemical cells and perform calculations using the Nernst equation,Chem 200,mathematical_modeling|quantitative_reasoning|experimental_design|solution_validation
Describe special topics such as nuclear chemistry organic chemistry and modern materials,Chem 200,technology_awareness|nature_of_science|interdisciplinary_transfer|systems_thinking
Use modern instrumentation such as infrared spectroscopy to analyze chemical samples,Chem 200,technology_awareness|data_interpretation|experimental_design|evidence_evaluation
Design and conduct laboratory experiments emphasizing qualitative and quantitative analysis,Chem 200,experimental_design|design_iteration|data_interpretation|replication_and_reproducibility|quantitative_reasoning
Integrate chemical knowledge with economic social and political context using case studies,Chem 200,socio_economic_analysis|stakeholder_identification|interdisciplinary_transfer|global_interconnectedness|systems_thinking
Interpret experimental data to draw valid scientific conclusions and assess sources of error,Chem 200,inference_calibration|failure_mode_analysis|data_interpretation|evidence_evaluation|replication_and_reproducibility|logical_structure_analysis
Apply Green Chemistry principles to evaluate environmental impacts of chemical processes,Chem 200,ethical_theory_application|trade_off_analysis|stakeholder_identification|systems_thinking|socio_economic_analysis
Describe polymer chemistry including addition and condensation polymerization reactions,Chem 200,nature_of_science|systems_thinking|logical_structure_analysis
Explain the chemistry of energetic materials and their relevance to Air Force applications,Chem 200,technology_awareness|threat_assessment|interdisciplinary_transfer|professional_responsibility
Analyze spectroscopic data to identify unknown chemical compounds,Chem 200,data_interpretation|logical_structure_analysis|inference_calibration|evidence_evaluation
Evaluate the societal and ethical implications of chemical technology and research,Chem 200,professional_responsibility|moral_reasoning|stakeholder_identification|socio_economic_analysis|ethical_theory_application|global_interconnectedness
Describe the principles and applications of chromatographic separation techniques,Chem 200,nature_of_science|experimental_design|technology_awareness|data_interpretation
Explain how computers represent and process information in binary and other encodings,Comp Sci 110,mathematical_modeling|logical_structure_analysis|quantitative_reasoning|nature_of_science
Describe the major components of computer systems and how hardware and software interact,Comp Sci 110,systems_thinking|technology_awareness|logical_structure_analysis|model_limitations
Apply algorithmic thinking to decompose and solve computational problems,Comp Sci 110,decision_framing|requirements_analysis|logical_structure_analysis|mathematical_modeling|quantitative_reasoning
Write trace and debug basic programs using a high-level programming language,Comp Sci 110,design_iteration|solution_validation|precision_of_language|failure_mode_analysis
Explain the principles and architecture of computer networks and the internet,Comp Sci 110,systems_thinking|model_limitations|technology_awareness|logical_structure_analysis
Describe the capabilities and limitations of artificial intelligence and machine learning systems,Comp Sci 110,model_limitations|uncertainty_tolerance|technology_awareness|scientific_skepticism|inference_calibration
Identify common information security vulnerabilities and methods to mitigate them,Comp Sci 110,failure_mode_analysis|threat_assessment|systems_thinking|technology_awareness|requirements_analysis
Explain how cyber operations are planned and executed as an instrument of national power,Comp Sci 110,strategic_thinking|geopolitical_analysis|intelligence_literacy|systems_thinking|threat_assessment
Evaluate the societal ethical and military implications of computing and cyber technology,Comp Sci 110,professional_responsibility|stakeholder_identification|ethical_theory_application|moral_reasoning|socio_economic_analysis|global_interconnectedness
Apply engineering problem-solving methods to analyze and address cyber system challenges,Comp Sci 110,requirements_analysis|trade_off_analysis|systems_thinking|failure_mode_analysis|design_iteration
Explain operating system functions including process management and memory allocation,Comp Sci 110,systems_thinking|mathematical_modeling|logical_structure_analysis|technology_awareness
Apply data structures such as arrays lists and trees to solve programming problems,Comp Sci 110,logical_structure_analysis|quantitative_reasoning|mathematical_modeling|decision_framing
Analyze the computational complexity of algorithms using Big-O notation,Comp Sci 110,quantitative_reasoning|mathematical_modeling|trade_off_analysis|logical_structure_analysis
Describe cloud computing architectures and their implications for data security,Comp Sci 110,systems_thinking|threat_assessment|technology_awareness|model_limitations
Explain principles of database design and write basic queries in a query language,Comp Sci 110,logical_organization|design_iteration|precision_of_language|systems_thinking
Evaluate the privacy security and civil liberties implications of surveillance and data collection,Comp Sci 110,rights_and_duties|ethical_theory_application|stakeholder_identification|professional_responsibility|social_structures|moral_reasoning
Apply version control practices to manage code development collaboratively,Comp Sci 110,team_dynamics|replication_and_reproducibility|accountability|design_iteration
Demonstrate technical communication skills by documenting code and system designs clearly,Comp Sci 110,precision_of_language|audience_adaptation|written_mechanics|visual_communication|logical_organization
Explain the core economic concepts of scarcity opportunity cost and tradeoffs,Econ 201,trade_off_analysis|decision_framing|quantitative_reasoning|logical_structure_analysis|resource_stewardship
Apply supply and demand analysis to predict how markets respond to changes in conditions,Econ 201,hypothesis_formation|quantitative_reasoning|mathematical_modeling|data_interpretation|inference_calibration
Analyze market structures and explain how competition affects prices and resource allocation,Econ 201,socio_economic_analysis|logical_structure_analysis|systems_thinking|data_interpretation|quantitative_reasoning
Describe macroeconomic concepts including GDP inflation unemployment and business cycles,Econ 201,socio_economic_analysis|data_interpretation|quantitative_reasoning|systems_thinking|change_and_continuity
Explain fiscal and monetary policy and evaluate their effects on the national economy,Econ 201,evidence_evaluation|inference_calibration|socio_economic_analysis|systems_thinking|trade_off_analysis
Apply cost-benefit analysis and marginal analysis to organizational and personal decisions,Econ 201,trade_off_analysis|resource_stewardship|decision_framing|quantitative_reasoning|mathematical_modeling
Analyze defense economics including the economics of military resource allocation,Econ 201,resource_and_logistics_reasoning|strategic_thinking|socio_economic_analysis|trade_off_analysis|resource_stewardship
Interpret national and international economic data and evaluate contemporary public policy,Econ 201,data_interpretation|geopolitical_analysis|socio_economic_analysis|global_interconnectedness|inference_calibration
Apply economic analysis to engineering economics and personal financial decision-making,Econ 201,quantitative_reasoning|mathematical_modeling|trade_off_analysis|decision_framing|self_leadership
Use critical thinking and quantitative reasoning to challenge assumptions in economic arguments,Econ 201,assumption_identification|scientific_skepticism|logical_structure_analysis|quantitative_reasoning|evidence_evaluation|bias_recognition
Describe international trade theory and explain comparative advantage,Econ 201,global_interconnectedness|geopolitical_analysis|logical_structure_analysis|socio_economic_analysis
Analyze market failures including externalities public goods and information asymmetry,Econ 201,stakeholder_identification|failure_mode_analysis|systems_thinking|socio_economic_analysis|ethical_theory_application
Apply game theory concepts to strategic decision-making in competitive environments,Econ 201,strategic_thinking|deterrence_theory|decision_framing|mathematical_modeling|logical_structure_analysis
Explain the economic basis of defense industrial base policy and procurement,Econ 201,resource_and_logistics_reasoning|socio_economic_analysis|strategic_thinking|geopolitical_analysis|systems_thinking
Describe how exchange rates and international finance affect national security,Econ 201,geopolitical_analysis|global_interconnectedness|socio_economic_analysis|strategic_thinking|threat_assessment
Evaluate the economic costs and benefits of military interventions and foreign aid,Econ 201,trade_off_analysis|socio_economic_analysis|ethical_theory_application|stakeholder_identification|geopolitical_analysis|resource_and_logistics_reasoning
Apply economic reasoning to assess personnel policies and talent management in the military,Econ 201,resource_stewardship|organizational_design|socio_economic_analysis|trade_off_analysis|decision_framing
Explain behavioral economics insights into how people deviate from rational choice models,Econ 201,bias_recognition|inference_calibration|human_nature_inquiry|scientific_skepticism|model_limitations
Analyze the rhetorical situation of a text including audience purpose and context,English 111,audience_adaptation|decision_framing|logical_structure_analysis|perspective_taking|assumption_identification
Identify and evaluate the strength of arguments and evidence in written texts,English 111,evidence_evaluation|logical_structure_analysis|argument_construction|inference_calibration|scientific_skepticism
Write well-organized analytic arguments that develop and support a clear central claim,English 111,argument_construction|logical_organization|written_mechanics|precision_of_language|audience_adaptation
Locate evaluate and integrate credible sources into written arguments,English 111,evidence_evaluation|precision_of_language|argument_construction|logical_structure_analysis|information_literacy
Apply correct documentation conventions to properly attribute sources,English 111,professional_responsibility|written_mechanics|integrity_and_honesty|precision_of_language
Read and interpret complex texts across multiple genres,English 111,inference_calibration|perspective_taking|data_interpretation|logical_structure_analysis|assumption_identification
Develop ideas through sequenced writing assignments including drafts and revision,English 111,feedback_integration|metacognitive_awareness|design_iteration|written_mechanics
Engage in peer review and use feedback to improve written work,English 111,active_listening|feedback_integration|interpersonal_influence|metacognitive_awareness
Reflect on one's own writing process and identify areas for improvement,English 111,metacognitive_awareness|self_leadership|feedback_integration|accountability
Apply the conventions of academic argumentation including thesis evidence and counterargument,English 111,argument_construction|logical_structure_analysis|evidence_evaluation|written_mechanics|precision_of_language
Analyze how genre conventions shape the structure and expectations of different types of writing,English 111,audience_adaptation|logical_organization|logical_structure_analysis|assumption_identification
Produce an extended research argument demonstrating sustained development of a complex claim,English 111,argument_construction|written_mechanics|logical_organization|evidence_evaluation|precision_of_language
Evaluate the ethical dimensions of representing others' ideas and experiences in writing,English 111,professional_responsibility|rights_and_duties|integrity_and_honesty|moral_reasoning|perspective_taking
Demonstrate understanding of how visual rhetoric and multimodal elements shape meaning,English 111,visual_communication|narrative_and_meaning|audience_adaptation|logical_structure_analysis
Compare argumentative strategies across disciplines and evaluate their effectiveness,English 111,logical_structure_analysis|assumption_identification|evidence_evaluation|perspective_taking|interdisciplinary_transfer
Identify and analyze the rhetorical moves in professional and technical documents,English 111,audience_adaptation|precision_of_language|logical_structure_analysis|inference_calibration
Develop an understanding of writing as a recursive process requiring planning drafting and revision,English 111,feedback_integration|written_mechanics|metacognitive_awareness|design_iteration
Apply an understanding of discourse communities to adapt writing for different professional contexts,English 111,audience_adaptation|professional_identity|written_mechanics|perspective_taking|logical_organization
Read literary texts closely attending to form style structure and language,English 211,data_interpretation|precision_of_language|logical_structure_analysis|inference_calibration
Identify and interpret significant literary devices including imagery symbol tone and narrative perspective,English 211,narrative_and_meaning|inference_calibration|perspective_taking|data_interpretation
Analyze a literary work in its historical cultural and social context,English 211,historical_context|cultural_literacy|social_structures|perspective_taking|human_nature_inquiry
Write sophisticated analytical arguments about literary texts with rhetorical clarity,English 211,argument_construction|written_mechanics|logical_organization|precision_of_language|evidence_evaluation
Engage with questions of ethical complexity and moral ambiguity through literary study,English 211,moral_reasoning|uncertainty_tolerance|perspective_taking|human_nature_inquiry|values_clarification|ethical_theory_application
Connect literary themes to leadership challenges and the responsibilities of citizenship,English 211,narrative_and_meaning|professional_identity|values_clarification|human_nature_inquiry|interdisciplinary_transfer
Demonstrate intellectual sophistication in discussing texts orally and in writing,English 211,oral_delivery|written_mechanics|argument_construction|precision_of_language
Revise written arguments to achieve greater clarity precision and logical development,English 211,feedback_integration|precision_of_language|written_mechanics|metacognitive_awareness|logical_organization
Compare how authors from different historical periods approach universal human themes,English 211,historical_context|change_and_continuity|human_nature_inquiry|narrative_and_meaning|perspective_taking
Analyze the relationship between form and meaning in poetry drama and narrative fiction,English 211,narrative_and_meaning|logical_structure_analysis|inference_calibration|data_interpretation
Evaluate competing critical interpretations of a literary text and develop a position,English 211,perspective_taking|evidence_evaluation|argument_construction|logical_structure_analysis|inference_calibration
Research and incorporate secondary sources to support literary analysis,English 211,evidence_evaluation|argument_construction|written_mechanics|logical_organization
Apply a specific critical theory or lens to produce an original interpretation of a literary work,English 211,assumption_identification|logical_structure_analysis|argument_construction|inference_calibration|perspective_taking
Identify how canonical and non-canonical texts represent power justice and human experience,English 211,social_structures|human_nature_inquiry|perspective_taking|identity_and_diversity|narrative_and_meaning
Develop intellectual independence by constructing an original and defensible reading of a text,English 211,argument_construction|metacognitive_awareness|logical_structure_analysis|evidence_evaluation
Demonstrate understanding of the relationship between literary tradition and innovation,English 211,change_and_continuity|cultural_literacy|historical_context|narrative_and_meaning
Engage responsibly with diverse literary voices and perspectives across cultural and historical difference,English 211,cross_cultural_ethics|perspective_taking|cultural_literacy|identity_and_diversity|human_nature_inquiry
Produce a final portfolio demonstrating development as a close reader and analytical writer,English 211,feedback_integration|self_leadership|written_mechanics|metacognitive_awareness|accountability
Apply digital humanities tools to perform computationally-based analysis of literary texts,English 212,technology_awareness|data_interpretation|mathematical_modeling|interdisciplinary_transfer|design_iteration
Read and interpret literary texts using both traditional close reading and computational methods,English 212,evidence_evaluation|perspective_taking|data_interpretation|logical_structure_analysis|inference_calibration|interdisciplinary_transfer
Analyze a text's formal aspects contents and contexts using blended analytical methods,English 212,logical_structure_analysis|inference_calibration|interdisciplinary_transfer|data_interpretation
Write analytical arguments about literary and cultural values with rhetorical clarity,English 212,argument_construction|written_mechanics|cultural_literacy|values_clarification|logical_organization
Evaluate the strengths and limitations of computational approaches to humanistic questions,English 212,model_limitations|scientific_skepticism|uncertainty_tolerance|evidence_evaluation|interdisciplinary_transfer
Develop habits of close reading and ethical communication as an officer-citizen,English 212,professional_responsibility|professional_identity|integrity_and_honesty|precision_of_language
Apply at least two distinct computational methods to a literary corpus,English 212,mathematical_modeling|technology_awareness|design_iteration|data_interpretation
Evaluate the validity and interpretive limits of a computationally generated reading of a text,English 212,model_limitations|uncertainty_tolerance|scientific_skepticism|inference_calibration|logical_structure_analysis
Construct an argument about cultural values using both humanistic and data-driven evidence,English 212,evidence_evaluation|cultural_literacy|argument_construction|data_interpretation|interdisciplinary_transfer
Design a digital humanities research question and select appropriate methods to address it,English 212,design_iteration|hypothesis_formation|requirements_analysis|decision_framing
Reflect on how digital tools both enable and constrain humanistic interpretation,English 212,metacognitive_awareness|model_limitations|technology_awareness|uncertainty_tolerance
Engage ethically with issues of data provenance copyright and algorithmic bias in text analysis,English 212,bias_recognition|rights_and_duties|professional_responsibility|ethical_theory_application|stakeholder_identification
Communicate findings from computational text analysis to a non-specialist audience,English 212,audience_adaptation|oral_delivery|written_mechanics|data_interpretation|visual_communication
Demonstrate the ability to move between macro-level patterns and close reading of individual passages,English 212,inference_calibration|logical_structure_analysis|data_interpretation|perspective_taking
Identify how computational approaches are transforming scholarship in the humanities,English 212,change_and_continuity|technology_awareness|nature_of_science|interdisciplinary_transfer
Produce a digital project that combines original analysis with a reflective critical statement,English 212,metacognitive_awareness|written_mechanics|design_iteration|argument_construction|self_leadership
Apply information literacy skills to evaluate the credibility and bias of digital sources,English 212,bias_recognition|evidence_evaluation|logical_structure_analysis|scientific_skepticism|assumption_identification
Compare traditional and computational approaches to a shared interpretive problem,English 212,trade_off_analysis|data_interpretation|perspective_taking|interdisciplinary_transfer|logical_structure_analysis
Demonstrate basic pronunciation vocabulary and grammatical structures in the target language,For Lang 131,oral_delivery|precision_of_language|feedback_integration|metacognitive_awareness
Comprehend simple spoken language in structured instructional contexts,For Lang 131,active_listening|metacognitive_awareness|inference_calibration
Produce simple spoken phrases and sentences to exchange information in the target language,For Lang 131,oral_delivery|audience_adaptation|precision_of_language
Read and interpret basic written texts in the target language,For Lang 131,inference_calibration|data_interpretation|logical_structure_analysis
Write simple sentences and short paragraphs using target language conventions,For Lang 131,written_mechanics|precision_of_language|feedback_integration
Describe and compare cultural practices and social norms of target-language communities,For Lang 131,cultural_literacy|cross_cultural_ethics|perspective_taking|identity_and_diversity
Identify significant historical and societal themes of cultures that speak the target language,For Lang 131,historical_context|cultural_literacy|narrative_and_meaning|social_structures
Recognize differences and similarities between one's own culture and target-language cultures,For Lang 131,perspective_taking|cultural_literacy|cross_cultural_ethics|assumption_identification|identity_and_diversity
Identify and use common social register distinctions in the target language,For Lang 131,audience_adaptation|precision_of_language|social_structures|cultural_literacy
Navigate authentic cultural scenarios such as shopping travel and social introductions in the target language,For Lang 131,cross_cultural_ethics|oral_delivery|audience_adaptation|interpersonal_influence
Distinguish between cognates and false cognates to improve reading comprehension,For Lang 131,assumption_identification|inference_calibration|logical_structure_analysis|scientific_skepticism
Apply phonological rules to improve pronunciation and listening comprehension,For Lang 131,active_listening|feedback_integration|precision_of_language|metacognitive_awareness
Use contextual and grammatical clues to infer meaning of unfamiliar vocabulary,For Lang 131,inference_calibration|uncertainty_tolerance|data_interpretation|logical_structure_analysis
Demonstrate awareness of how language reflects and reinforces cultural values and social norms,For Lang 131,cultural_literacy|human_nature_inquiry|social_structures|values_clarification|narrative_and_meaning
Develop strategies for self-directed language learning beyond the classroom,For Lang 131,self_leadership|metacognitive_awareness|feedback_integration|accountability
Recognize the professional and national security value of multilingual competence for Air Force officers,For Lang 131,professional_identity|intelligence_literacy|geopolitical_analysis|strategic_thinking
Produce basic written correspondence appropriate to common professional and social situations,For Lang 131,written_mechanics|audience_adaptation|professional_identity|precision_of_language
Compare phonological grammatical and lexical features of the target language with English,For Lang 131,logical_structure_analysis|data_interpretation|assumption_identification
Use expanded vocabulary and more complex grammatical structures in the target language,For Lang 132,precision_of_language|written_mechanics|feedback_integration|metacognitive_awareness
Comprehend and respond to spoken language in a wider range of everyday contexts,For Lang 132,active_listening|audience_adaptation|inference_calibration|metacognitive_awareness
Give structured presentations in the target language on cultural and societal topics,For Lang 132,oral_delivery|logical_organization|audience_adaptation|cultural_literacy|visual_communication
Read and interpret intermediate-level texts about culture history and society,For Lang 132,cultural_literacy|data_interpretation|historical_context|narrative_and_meaning|inference_calibration
Write paragraphs and short essays in the target language with increasing grammatical accuracy,For Lang 132,written_mechanics|feedback_integration|precision_of_language|logical_organization
Analyze and discuss societal themes as they relate to cultures using the target language,For Lang 132,cultural_literacy|narrative_and_meaning|social_structures|perspective_taking|human_nature_inquiry
Compare social political and historical contexts across cultures studied,For Lang 132,historical_context|cross_cultural_ethics|social_structures|global_interconnectedness|perspective_taking
Produce multi-paragraph written arguments on societal topics in the target language,For Lang 132,argument_construction|written_mechanics|logical_organization|precision_of_language
Navigate authentic professional and academic interactions in the target language,For Lang 132,professional_identity|oral_delivery|audience_adaptation|interpersonal_influence|cross_cultural_ethics
Analyze media sources in the target language to extract key information and perspective,For Lang 132,perspective_taking|evidence_evaluation|data_interpretation|inference_calibration|bias_recognition
Apply knowledge of target-language morphology and syntax to improve accuracy in production,For Lang 132,precision_of_language|metacognitive_awareness|logical_structure_analysis|feedback_integration
Reflect on progress toward language proficiency goals and adjust learning strategies accordingly,For Lang 132,self_leadership|metacognitive_awareness|feedback_integration|accountability
Identify national security and diplomatic contexts where target language proficiency provides operational advantage,For Lang 132,intelligence_literacy|geopolitical_analysis|strategic_thinking|professional_identity
Demonstrate intercultural competence in simulated professional or diplomatic scenarios,For Lang 132,cross_cultural_ethics|professional_identity|audience_adaptation|interpersonal_influence|alliance_and_coalition_dynamics
Interpret idiomatic expressions and culturally specific references in authentic texts,For Lang 132,cultural_literacy|inference_calibration|data_interpretation|human_nature_inquiry
Develop vocabulary acquisition strategies for professional and academic domains in the target language,For Lang 132,self_leadership|professional_identity|metacognitive_awareness|resource_stewardship
Engage with literary or journalistic texts to analyze cultural values in the target-language society,For Lang 132,cultural_literacy|values_clarification|narrative_and_meaning|perspective_taking|social_structures
Assess one's own language proficiency relative to ACTFL or DLPT standards,For Lang 132,accountability|self_leadership|metacognitive_awareness|solution_validation
Explain the evolution of warfare at the strategic operational and tactical levels from WWI to the present,History 100,historical_context|strategic_thinking|change_and_continuity|geopolitical_analysis|narrative_and_meaning
Analyze the causes and consequences of major twentieth and twenty-first century conflicts,History 100,historical_context|geopolitical_analysis|logical_structure_analysis|evidence_evaluation|global_interconnectedness
Evaluate the factors that led to success or failure in specific historical military campaigns,History 100,failure_mode_analysis|historical_context|evidence_evaluation|logical_structure_analysis|inference_calibration
Describe changes in military technology and doctrine and their impact on the conduct of war,History 100,technology_awareness|change_and_continuity|historical_context|systems_thinking|geopolitical_analysis
Explain the strategic context in which air and space power developed as instruments of war,History 100,strategic_thinking|historical_context|geopolitical_analysis|technology_awareness|change_and_continuity
Identify the professional qualities required of military leaders at each level of warfare,History 100,professional_identity|self_leadership|historical_context|leadership_theory|narrative_and_meaning
Articulate the meaning of the profession of arms and the warrior ethos,History 100,oath_and_obligation|core_values_internalization|human_nature_inquiry|narrative_and_meaning|values_clarification|professional_identity
Apply lessons from military history to contemporary professional and leadership challenges,History 100,historical_context|decision_framing|interdisciplinary_transfer|narrative_and_meaning|inference_calibration
Describe the major causes and consequences of the First World War and the interwar period,History 100,historical_context|global_interconnectedness|geopolitical_analysis|logical_structure_analysis|change_and_continuity
Analyze the impact of the Second World War on geopolitical order and military doctrine,History 100,geopolitical_analysis|historical_context|change_and_continuity|global_interconnectedness|strategic_thinking
Explain the origins and major phases of the Cold War and its influence on U.S. military strategy,History 100,strategic_thinking|historical_context|geopolitical_analysis|deterrence_theory|change_and_continuity
Describe the development of nuclear weapons and their strategic implications since 1945,History 100,deterrence_theory|historical_context|geopolitical_analysis|threat_assessment|strategic_thinking
Analyze the evolution of counterinsurgency and irregular warfare in post-Cold War conflicts,History 100,geopolitical_analysis|change_and_continuity|historical_context|threat_assessment|logical_structure_analysis
Evaluate the role of intelligence and information operations in twentieth-century warfare,History 100,intelligence_literacy|historical_context|geopolitical_analysis|evidence_evaluation|threat_assessment
Apply historical case-study analysis to evaluate competing explanations for military outcomes,History 100,evidence_evaluation|logical_structure_analysis|inference_calibration|historical_context|assumption_identification
Describe the impact of domestic politics and public opinion on the conduct of war,History 100,civil_military_relations|social_structures|historical_context|geopolitical_analysis|stakeholder_identification
Explain the historical development of the laws of armed conflict and their operational implications,History 100,law_of_armed_conflict|historical_context|change_and_continuity|professional_responsibility|geopolitical_analysis
Analyze the role of logistics technology and industrial capacity in determining military outcomes,History 100,resource_and_logistics_reasoning|technology_awareness|historical_context|systems_thinking|geopolitical_analysis
Survey major civilizations and their development from ancient times to the modern era,History 300,historical_context|cultural_literacy|change_and_continuity|global_interconnectedness|narrative_and_meaning
Apply the concept of transculturation to explain cross-cultural exchange and interaction throughout history,History 300,cross_cultural_ethics|change_and_continuity|historical_context|global_interconnectedness|human_nature_inquiry|identity_and_diversity
Explain the global impact of political religious ideological economic and social forces on historical change,History 300,global_interconnectedness|socio_economic_analysis|historical_context|change_and_continuity|social_structures|systems_thinking
Describe how the modern international order emerged from historical developments in governance and power,History 300,geopolitical_analysis|social_structures|historical_context|change_and_continuity|global_interconnectedness
Identify the uniqueness and interconnectedness of cultures and societies across time and geography,History 300,cultural_literacy|global_interconnectedness|identity_and_diversity|perspective_taking|human_nature_inquiry
Analyze one's own identity and origins in relation to different groups and peoples globally,History 300,identity_and_diversity|perspective_taking|global_interconnectedness|human_nature_inquiry|metacognitive_awareness
